scharbeutz_beach_data_4h_sum
datetime;occupancy
2020-12-19 04:00:00+00:00;9.75
2020-12-19 08:00:00+00:00;225.4375
2020-12-19 12:00:00+00:00;631.8125
2020-12-19 16:00:00+00:00;388.625
2020-12-19 20:00:00+00:00;391.0
2020-12-20 00:00:00+00:00;286.625
2020-12-20 04:00:00+00:00;1.1875
2020-12-20 08:00:00+00:00;81.375
2020-12-20 12:00:00+00:00;240.125
2020-12-20 16:00:00+00:00;166.0625
2020-12-20 20:00:00+00:00;166.3125
2020-12-21 00:00:00+00:00;124.6875
2020-12-21 04:00:00+00:00;-2.875
2020-12-21 08:00:00+00:00;21.0
2020-12-21 12:00:00+00:00;163.1875
2020-12-21 16:00:00+00:00;110.125
2020-12-21 20:00:00+00:00;109.5625
2020-12-22 00:00:00+00:00;81.8125
2020-12-22 04:00:00+00:00;1.875
2020-12-22 08:00:00+00:00;30.6875
2020-12-22 12:00:00+00:00;69.8125
2020-12-22 16:00:00+00:00;67.0625
2020-12-22 20:00:00+00:00;64.875
2020-12-23 00:00:00+00:00;45.0625
2020-12-23 04:00:00+00:00;2.1875
2020-12-23 08:00:00+00:00;35.25
2020-12-23 12:00:00+00:00;73.875
2020-12-23 16:00:00+00:00;44.625
2020-12-23 20:00:00+00:00;47.875
2020-12-24 00:00:00+00:00;36.375
2020-12-24 04:00:00+00:00;-4.0625
2020-12-24 08:00:00+00:00;11.5625
2020-12-24 12:00:00+00:00;47.4375
2020-12-24 16:00:00+00:00;-375
2020-12-24 20:00:00+00:00;-4.25
2020-12-25 00:00:00+00:00;-4.0625
2020-12-25 04:00:00+00:00;5.25
2020-12-25 08:00:00+00:00;186.1875
2020-12-25 12:00:00+00:00;675.125
2020-12-25 16:00:00+00:00;501.0625
2020-12-25 20:00:00+00:00;504.0
2020-12-26 00:00:00+00:00;375.0
2020-12-26 04:00:00+00:00;1.25
2020-12-26 08:00:00+00:00;68.5
2020-12-26 12:00:00+00:00;249.1875
2020-12-26 16:00:00+00:00;116.0
2020-12-26 20:00:00+00:00;110.5625
2020-12-27 00:00:00+00:00;86.25
2020-12-27 04:00:00+00:00;4.125
2020-12-27 08:00:00+00:00;72.1875
2020-12-27 12:00:00+00:00;115.875
2020-12-27 16:00:00+00:00;100.8125
2020-12-27 20:00:00+00:00;93.125
2020-12-28 00:00:00+00:00;72.0625
2020-12-28 04:00:00+00:00;9.875
2020-12-28 08:00:00+00:00;101.9375
2020-12-28 12:00:00+00:00;324.25
2020-12-28 16:00:00+00:00;210.0625
2020-12-28 20:00:00+00:00;206.0625
2020-12-29 00:00:00+00:00;155.9375
2020-12-29 04:00:00+00:00;0.0
2020-12-29 08:00:00+00:00;68.6875
2020-12-29 12:00:00+00:00;265.375
2020-12-29 16:00:00+00:00;161.125
2020-12-29 20:00:00+00:00;167.5625
2020-12-30 00:00:00+00:00;123.375
2020-12-30 04:00:00+00:00;-2.9375
2020-12-30 08:00:00+00:00;48.0625
2020-12-30 12:00:00+00:00;176.625
2020-12-30 16:00:00+00:00;73.25
2020-12-30 20:00:00+00:00;60.6875
2020-12-31 00:00:00+00:00;40.875
2020-12-31 04:00:00+00:00;3.9375
2020-12-31 08:00:00+00:00;82.625
2020-12-31 12:00:00+00:00;243.1875
2020-12-31 16:00:00+00:00;126.625
2020-12-31 20:00:00+00:00;146.375
2021-01-01 00:00:00+00:00;79.5625
2021-01-01 04:00:00+00:00;0.25
2021-01-01 08:00:00+00:00;110.6875
2021-01-01 12:00:00+00:00;461.0625
2021-01-01 16:00:00+00:00;308.5625
2021-01-01 20:00:00+00:00;314.875
2021-01-02 00:00:00+00:00;234.4375
2021-01-02 04:00:00+00:00;2.125
2021-01-02 08:00:00+00:00;81.9375
2021-01-02 12:00:00+00:00;433.875
2021-01-02 16:00:00+00:00;186.0
2021-01-02 20:00:00+00:00;172.0
2021-01-03 00:00:00+00:00;127.5
2021-01-03 04:00:00+00:00;2.1875
2021-01-03 08:00:00+00:00;131.0
2021-01-03 12:00:00+00:00;378.5
2021-01-03 16:00:00+00:00;254.6875
2021-01-03 20:00:00+00:00;257.8125
2021-01-04 00:00:00+00:00;194.375
2021-01-04 04:00:00+00:00;-1.25
2021-01-04 08:00:00+00:00;9.625
2021-01-04 12:00:00+00:00;29.25
2021-01-04 16:00:00+00:00;12.5625
2021-01-04 20:00:00+00:00;11.1875
2021-01-05 00:00:00+00:00;9.625
2021-01-05 04:00:00+00:00;-1.5625
2021-01-05 08:00:00+00:00;2.125
2021-01-05 12:00:00+00:00;31.1875
2021-01-05 16:00:00+00:00;-4.3125
2021-01-05 20:00:00+00:00;-8.1875
2021-01-06 00:00:00+00:00;-5.375
2021-01-06 04:00:00+00:00;2.4375
2021-01-06 08:00:00+00:00;16.75
2021-01-06 12:00:00+00:00;62.5
2021-01-06 16:00:00+00:00;56.3125
2021-01-06 20:00:00+00:00;57.625
2021-01-07 00:00:00+00:00;44.3125
2021-01-07 04:00:00+00:00;-1.25
2021-01-07 08:00:00+00:00;24.125
2021-01-07 12:00:00+00:00;57.3125
2021-01-07 16:00:00+00:00;14.4375
2021-01-07 20:00:00+00:00;9.0625
2021-01-08 00:00:00+00:00;5.3125
2021-01-08 04:00:00+00:00;0.3125
2021-01-08 08:00:00+00:00;15.8125
2021-01-08 12:00:00+00:00;3.125
2021-01-08 16:00:00+00:00;-70.125
2021-01-08 20:00:00+00:00;-68.0
2021-01-09 00:00:00+00:00;-51.0
2021-01-09 04:00:00+00:00;-0.8125
2021-01-09 08:00:00+00:00;56.8125
2021-01-09 12:00:00+00:00;203.4375
2021-01-09 16:00:00+00:00;134.5
2021-01-09 20:00:00+00:00;136.0
2021-01-10 00:00:00+00:00;102.0
2021-01-10 04:00:00+00:00;-0.8125
2021-01-10 08:00:00+00:00;57.75
2021-01-10 12:00:00+00:00;206.8125
2021-01-10 16:00:00+00:00;137.5
2021-01-10 20:00:00+00:00;139.0
2021-01-11 00:00:00+00:00;104.25
2021-01-11 04:00:00+00:00;-0.6875
2021-01-11 08:00:00+00:00;56.0625
2021-01-11 12:00:00+00:00;199.9375
2021-01-11 16:00:00+00:00;128.625
2021-01-11 20:00:00+00:00;130.0
2021-01-12 00:00:00+00:00;97.5
2021-01-12 04:00:00+00:00;-0.6875
2021-01-12 08:00:00+00:00;59.4375
2021-01-12 12:00:00+00:00;207.875
2021-01-12 16:00:00+00:00;140.3125
2021-01-12 20:00:00+00:00;141.0
2021-01-13 00:00:00+00:00;105.75
2021-01-13 04:00:00+00:00;-1.3125
2021-01-13 08:00:00+00:00;26.875
2021-01-13 12:00:00+00:00;17.75
2021-01-13 16:00:00+00:00;-52.6875
2021-01-13 20:00:00+00:00;-48.75
2021-01-14 00:00:00+00:00;-35.25
2021-01-14 04:00:00+00:00;-0.9375
2021-01-14 08:00:00+00:00;22.3125
2021-01-14 12:00:00+00:00;112.4375
2021-01-14 16:00:00+00:00;92.5
2021-01-14 20:00:00+00:00;92.4375
2021-01-15 00:00:00+00:00;70.5
2021-01-15 04:00:00+00:00;1.6875
2021-01-15 08:00:00+00:00;22.1875
2021-01-15 12:00:00+00:00;95.0
2021-01-15 16:00:00+00:00;47.125
2021-01-15 20:00:00+00:00;46.5625
2021-01-16 00:00:00+00:00;31.6875
2021-01-16 04:00:00+00:00;6.1875
2021-01-16 08:00:00+00:00;155.25
2021-01-16 12:00:00+00:00;487.0
2021-01-16 16:00:00+00:00;199.8125
2021-01-16 20:00:00+00:00;189.9375
2021-01-17 00:00:00+00:00;140.125
2021-01-17 04:00:00+00:00;9.1875
2021-01-17 08:00:00+00:00;195.8125
2021-01-17 12:00:00+00:00;484.125
2021-01-17 16:00:00+00:00;224.6875
2021-01-17 20:00:00+00:00;204.5625
2021-01-18 00:00:00+00:00;151.5
2021-01-18 04:00:00+00:00;-375
2021-01-18 08:00:00+00:00;12.375
2021-01-18 12:00:00+00:00;61.125
2021-01-18 16:00:00+00:00;68.4375
2021-01-18 20:00:00+00:00;69.5
2021-01-19 00:00:00+00:00;52.5
2021-01-19 04:00:00+00:00;2.8125
2021-01-19 08:00:00+00:00;19.875
2021-01-19 12:00:00+00:00;54.8125
2021-01-19 16:00:00+00:00;43.4375
2021-01-19 20:00:00+00:00;44.1875
2021-01-20 00:00:00+00:00;33.5
2021-01-20 04:00:00+00:00;4.125
2021-01-20 08:00:00+00:00;43.1875
2021-01-20 12:00:00+00:00;84.875
2021-01-20 16:00:00+00:00;90.375
2021-01-20 20:00:00+00:00;83.5
2021-01-21 00:00:00+00:00;60.75
2021-01-21 04:00:00+00:00;1.1875
2021-01-21 08:00:00+00:00;30.125
2021-01-21 12:00:00+00:00;149.5625
2021-01-21 16:00:00+00:00;74.0
2021-01-21 20:00:00+00:00;56.3125
2021-01-22 00:00:00+00:00;42.75
2021-01-22 04:00:00+00:00;0.25
2021-01-22 08:00:00+00:00;45.0625
2021-01-22 12:00:00+00:00;181.125
2021-01-22 16:00:00+00:00;123.1875
2021-01-22 20:00:00+00:00;116.0
2021-01-23 00:00:00+00:00;94.5625
2021-01-23 04:00:00+00:00;7.75
2021-01-23 08:00:00+00:00;159.5625
2021-01-23 12:00:00+00:00;656.75
2021-01-23 16:00:00+00:00;406.8125
2021-01-23 20:00:00+00:00;393.3125
2021-01-24 00:00:00+00:00;292.4375
2021-01-24 04:00:00+00:00;9.625
2021-01-24 08:00:00+00:00;160.1875
2021-01-24 12:00:00+00:00;290.1875
2021-01-24 16:00:00+00:00;212.5625
2021-01-24 20:00:00+00:00;208.1875
2021-01-25 00:00:00+00:00;155.25
2021-01-25 04:00:00+00:00;2.75
2021-01-25 08:00:00+00:00;25.125
2021-01-25 12:00:00+00:00;85.3125
2021-01-25 16:00:00+00:00;37.25
2021-01-25 20:00:00+00:00;30.3125
2021-01-26 00:00:00+00:00;21.75
2021-01-26 04:00:00+00:00;5.25
2021-01-26 08:00:00+00:00;62.0625
2021-01-26 12:00:00+00:00;131.1875
2021-01-26 16:00:00+00:00;35.25
2021-01-26 20:00:00+00:00;15.375
2021-01-27 00:00:00+00:00;13.3125
2021-01-27 04:00:00+00:00;3.1875
2021-01-27 08:00:00+00:00;39.1875
2021-01-27 12:00:00+00:00;64.4375
2021-01-27 16:00:00+00:00;15.9375
2021-01-27 20:00:00+00:00;18.0625
2021-01-28 00:00:00+00:00;13.5
2021-01-28 04:00:00+00:00;3.9375
2021-01-28 08:00:00+00:00;27.6875
2021-01-28 12:00:00+00:00;59.5625
2021-01-28 16:00:00+00:00;17.8125
2021-01-28 20:00:00+00:00;-2.625
2021-01-29 00:00:00+00:00;-5.9375
2021-01-29 04:00:00+00:00;2.25
2021-01-29 08:00:00+00:00;26.375
2021-01-29 12:00:00+00:00;45.875
2021-01-29 16:00:00+00:00;2.5625
2021-01-29 20:00:00+00:00;-9.4375
2021-01-30 00:00:00+00:00;-8.0
2021-01-30 04:00:00+00:00;3.0625
2021-01-30 08:00:00+00:00;160.0625
2021-01-30 12:00:00+00:00;448.25
2021-01-30 16:00:00+00:00;225.75
2021-01-30 20:00:00+00:00;213.5625
2021-01-31 00:00:00+00:00;155.75
2021-01-31 04:00:00+00:00;4.8125
2021-01-31 08:00:00+00:00;206.1875
2021-01-31 12:00:00+00:00;452.5
2021-01-31 16:00:00+00:00;97.9375
2021-01-31 20:00:00+00:00;87.5625
2021-02-01 00:00:00+00:00;65.25
2021-02-01 04:00:00+00:00;1.0625
2021-02-01 08:00:00+00:00;30.75
2021-02-01 12:00:00+00:00;1.0
2021-02-01 16:00:00+00:00;-52.3125
2021-02-01 20:00:00+00:00;-58.25
2021-02-02 00:00:00+00:00;-43.5
2021-02-02 04:00:00+00:00;-1.5
2021-02-02 08:00:00+00:00;29.9375
2021-02-02 12:00:00+00:00;31.625
2021-02-02 16:00:00+00:00;-46.0
2021-02-02 20:00:00+00:00;-49.4375
2021-02-03 00:00:00+00:00;-36.75
2021-02-03 04:00:00+00:00;-0.8125
2021-02-03 08:00:00+00:00;1.0
2021-02-03 12:00:00+00:00;44.625
2021-02-03 16:00:00+00:00;43.8125
2021-02-03 20:00:00+00:00;38.625
2021-02-04 00:00:00+00:00;29.25
2021-02-04 04:00:00+00:00;-2.8125
2021-02-04 08:00:00+00:00;3.25
2021-02-04 12:00:00+00:00;34.6875
2021-02-04 16:00:00+00:00;19.0625
2021-02-04 20:00:00+00:00;7.6875
2021-02-05 00:00:00+00:00;5.4375
2021-02-05 04:00:00+00:00;-3.4375
2021-02-05 08:00:00+00:00;-1.4375
2021-02-05 12:00:00+00:00;6.4375
2021-02-05 16:00:00+00:00;-6.375
2021-02-05 20:00:00+00:00;-14.25
2021-02-06 00:00:00+00:00;-9.25
2021-02-06 04:00:00+00:00;3.375
2021-02-06 08:00:00+00:00;17.9375
2021-02-06 12:00:00+00:00;-16.5
2021-02-06 16:00:00+00:00;-112.5625
2021-02-06 20:00:00+00:00;-115.0
2021-02-07 00:00:00+00:00;-85.4375
2021-02-07 04:00:00+00:00;2.0
2021-02-07 08:00:00+00:00;-9.5625
2021-02-07 12:00:00+00:00;-92.5625
2021-02-07 16:00:00+00:00;-135.875
2021-02-07 20:00:00+00:00;-140.625
2021-02-08 00:00:00+00:00;-105.0
2021-02-08 04:00:00+00:00;-2.0625
2021-02-08 08:00:00+00:00;3.1875
2021-02-08 12:00:00+00:00;5.625
2021-02-08 16:00:00+00:00;14.375
2021-02-08 20:00:00+00:00;17.5
2021-02-09 00:00:00+00:00;12.5625
2021-02-09 04:00:00+00:00;10.6875
2021-02-09 08:00:00+00:00;38.75
2021-02-09 12:00:00+00:00;55.125
2021-02-09 16:00:00+00:00;54.8125
2021-02-09 20:00:00+00:00;44.625
2021-02-10 00:00:00+00:00;33.0
2021-02-10 04:00:00+00:00;3.875
2021-02-10 08:00:00+00:00;9.25
2021-02-10 12:00:00+00:00;-24.25
2021-02-10 16:00:00+00:00;-49.375
2021-02-10 20:00:00+00:00;-52.3125
2021-02-11 00:00:00+00:00;-40.5
2021-02-11 04:00:00+00:00;-625
2021-02-11 08:00:00+00:00;21.1875
2021-02-11 12:00:00+00:00;65.1875
2021-02-11 16:00:00+00:00;-53.8125
2021-02-11 20:00:00+00:00;-71.3125
2021-02-12 00:00:00+00:00;-54.0
2021-02-12 04:00:00+00:00;-9.5
2021-02-12 08:00:00+00:00;73.5625
2021-02-12 12:00:00+00:00;181.6875
2021-02-12 16:00:00+00:00;34.0625
2021-02-12 20:00:00+00:00;5.4375
2021-02-13 00:00:00+00:00;3.125
2021-02-13 04:00:00+00:00;-4.75
2021-02-13 08:00:00+00:00;218.3125
2021-02-13 12:00:00+00:00;733.4375
2021-02-13 16:00:00+00:00;312.25
2021-02-13 20:00:00+00:00;288.0
2021-02-14 00:00:00+00:00;217.5
2021-02-14 04:00:00+00:00;4.375
2021-02-14 08:00:00+00:00;434.375
2021-02-14 12:00:00+00:00;949.25
2021-02-14 16:00:00+00:00;516.5
2021-02-14 20:00:00+00:00;496.1875
2021-02-15 00:00:00+00:00;371.75
2021-02-15 04:00:00+00:00;-2.9375
2021-02-15 08:00:00+00:00;30.1875
2021-02-15 12:00:00+00:00;65.4375
2021-02-15 16:00:00+00:00;39.75
2021-02-15 20:00:00+00:00;30.6875
2021-02-16 00:00:00+00:00;22.6875
